customer_name,gender,age,city,state,order_date,delivery_date,sales_id,price_per_unit,quantity,total_price,product_type,product_name,size,colour,Stock,delivery_days,month,age group
Jamesy Rennles,Genderqueer,46,Harberview,Tasmania,2021-05-11,2021-06-01,2152,98,1,98,Shirt,Camp Collared,XS,green,66,21,2021-05-01,Middle Aged
Jamesy Rennles,Genderqueer,46,Harberview,Tasmania,2021-05-11,2021-06-01,2153,118,2,236,Jacket,Puffer,XS,yellow,55,21,2021-05-01,Middle Aged
Jamesy Rennles,Genderqueer,46,Harberview,Tasmania,2021-05-11,2021-06-01,2154,92,2,184,Shirt,Denim,L,blue,45,21,2021-05-01,Middle Aged
Jamesy Rennles,Genderqueer,46,Harberview,Tasmania,2021-05-11,2021-06-01,2155,95,1,95,Shirt,Polo,L,violet,76,21,2021-05-01,Middle Aged
Jamesy Rennles,Genderqueer,46,Harberview,Tasmania,2021-05-11,2021-06-01,2156,105,3,315,Shirt,Cuban Collar,XS,violet,49,21,2021-05-01,Middle Aged
Jamesy Rennles,Genderqueer,46,Harberview,Tasmania,2021-05-11,2021-06-01,2157,91,3,273,Shirt,Linen,M,violet,44,21,2021-05-01,Middle Aged
Jamesy Rennles,Genderqueer,46,Harberview,Tasmania,2021-05-11,2021-06-01,2158,91,3,273,Jacket,Pullover,L,violet,78,21,2021-05-01,Middle Aged
Emylee Buscher,Non-binary,69,Thompsonport,Northern Territory,2021-02-17,2021-02-22,2159,113,3,339,Jacket,Parka,L,yellow,72,5,2021-02-01,Senior
Emylee Buscher,Non-binary,69,Thompsonport,Northern Territory,2021-02-17,2021-02-22,2160,95,3,285,Shirt,Polo,XL,blue,70,5,2021-02-01,Senior
Emylee Buscher,Non-binary,69,Thompsonport,Northern Territory,2021-02-17,2021-02-22,2161,94,2,188,Trousers,Cords,XL,yellow,65,5,2021-02-01,Senior
Emylee Buscher,Non-binary,69,Thompsonport,Northern Territory,2021-02-17,2021-02-22,2162,118,2,236,Shirt,Flannel,M,orange,68,5,2021-02-01,Senior
Emylee Buscher,Non-binary,69,Thompsonport,Northern Territory,2021-02-17,2021-02-22,2163,109,2,218,Jacket,Peacoat,XL,green,68,5,2021-02-01,Senior
Denice Ledrane,Bigender,32,New Beaumouth,Australian Capital Territory,2021-08-16,2021-09-08,4430,90,2,180,Trousers,Relaxed Leg,M,blue,72,23,2021-08-01,Young
Denice Ledrane,Bigender,32,New Beaumouth,Australian Capital Territory,2021-08-16,2021-09-08,4431,119,3,357,Jacket,Trench Coat,XS,green,62,23,2021-08-01,Young
Denice Ledrane,Bigender,32,New Beaumouth,Australian Capital Territory,2021-08-16,2021-09-08,4432,105,1,105,Trousers,Pleated,L,orange,53,23,2021-08-01,Young
Denice Ledrane,Bigender,32,New Beaumouth,Australian Capital Territory,2021-08-16,2021-09-08,4433,92,3,276,Shirt,Denim,L,indigo,58,23,2021-08-01,Young
Denice Ledrane,Bigender,32,New Beaumouth,Australian Capital Territory,2021-08-16,2021-09-08,4434,113,2,226,Jacket,Parka,S,green,62,23,2021-08-01,Young
Denice Ledrane,Bigender,32,New Beaumouth,Australian Capital Territory,2021-08-16,2021-09-08,4435,107,3,321,Jacket,Denim,L,orange,73,23,2021-08-01,Young
Denice Ledrane,Bigender,32,New Beaumouth,Australian Capital Territory,2021-08-16,2021-09-08,4436,98,1,98,Jacket,Leather,M,orange,80,23,2021-08-01,Young
Denice Ledrane,Bigender,32,New Beaumouth,Australian Capital Territory,2021-08-16,2021-09-08,4437,119,3,357,Jacket,Trench Coat,XL,indigo,64,23,2021-08-01,Young
Denice Ledrane,Bigender,32,New Beaumouth,Australian Capital Territory,2021-08-16,2021-09-08,4438,105,1,105,Trousers,Pleated,XL,orange,69,23,2021-08-01,Young
Emylee Buscher,Non-binary,69,Thompsonport,Northern Territory,2021-08-06,2021-08-18,3161,99,1,99,Trousers,High-Waisted,L,red,52,12,2021-08-01,Senior
Emylee Buscher,Non-binary,69,Thompsonport,Northern Territory,2021-08-06,2021-08-18,3162,99,2,198,Trousers,High-Waisted,XS,blue,51,12,2021-08-01,Senior
Emylee Buscher,Non-binary,69,Thompsonport,Northern Territory,2021-08-06,2021-08-18,3163,91,2,182,Shirt,Linen,M,green,42,12,2021-08-01,Senior
Emylee Buscher,Non-binary,69,Thompsonport,Northern Territory,2021-08-06,2021-08-18,3164,109,3,327,Jacket,Peacoat,XS,violet,54,12,2021-08-01,Senior
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-08-25,2021-09-05,2166,106,2,212,Shirt,Chambray,L,violet,53,11,2021-08-01,Young
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-08-25,2021-09-05,2167,94,1,94,Shirt,Henley,L,yellow,62,11,2021-08-01,Young
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-08-25,2021-09-05,2168,104,3,312,Shirt,Dress,L,orange,73,11,2021-08-01,Young
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-08-25,2021-09-05,2169,105,3,315,Shirt,Cuban Collar,L,indigo,65,11,2021-08-01,Young
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-08-25,2021-09-05,2170,102,1,102,Jacket,Windbreaker,L,violet,72,11,2021-08-01,Young
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-08-25,2021-09-05,2171,99,3,297,Trousers,High-Waisted,S,blue,75,11,2021-08-01,Young
Ninon Corteney,Non-binary,55,Sauerfort,Western Australia,2021-09-11,2021-09-12,1294,95,1,95,Shirt,Polo,M,orange,67,1,2021-09-01,Middle Aged
Ninon Corteney,Non-binary,55,Sauerfort,Western Australia,2021-09-11,2021-09-12,1295,105,2,210,Shirt,Cuban Collar,L,green,58,1,2021-09-01,Middle Aged
Ninon Corteney,Non-binary,55,Sauerfort,Western Australia,2021-09-11,2021-09-12,1296,94,3,282,Shirt,Henley,M,blue,42,1,2021-09-01,Middle Aged
Ninon Corteney,Non-binary,55,Sauerfort,Western Australia,2021-09-11,2021-09-12,1297,93,3,279,Trousers,Joggers,XL,green,56,1,2021-09-01,Middle Aged
Leeann Gowdie,Agender,52,Callumborough,Queensland,2021-09-10,2021-10-02,1227,91,3,273,Jacket,Pullover,M,indigo,72,22,2021-09-01,Middle Aged
Leeann Gowdie,Agender,52,Callumborough,Queensland,2021-09-10,2021-10-02,1228,93,2,186,Trousers,Joggers,XS,green,77,22,2021-09-01,Middle Aged
Leeann Gowdie,Agender,52,Callumborough,Queensland,2021-09-10,2021-10-02,1229,109,2,218,Jacket,Peacoat,XS,orange,78,22,2021-09-01,Middle Aged
Law Foker,Genderfluid,66,Colestad,Queensland,2021-07-30,2021-08-13,274,90,2,180,Trousers,Relaxed Leg,XS,violet,49,14,2021-07-01,Senior
Law Foker,Genderfluid,66,Colestad,Queensland,2021-07-30,2021-08-13,275,105,2,210,Trousers,Pleated,M,red,40,14,2021-07-01,Senior
Lindsey McCuthais,Bigender,61,Port Hunter,Tasmania,2021-10-06,2021-10-12,886,105,2,210,Trousers,Pleated,M,red,40,6,2021-10-01,Senior
Lindsey McCuthais,Bigender,61,Port Hunter,Tasmania,2021-10-06,2021-10-12,887,102,3,306,Jacket,Windbreaker,L,blue,41,6,2021-10-01,Senior
Lindsey McCuthais,Bigender,61,Port Hunter,Tasmania,2021-10-06,2021-10-12,888,109,3,327,Jacket,Peacoat,L,blue,64,6,2021-10-01,Senior
Lindsey McCuthais,Bigender,61,Port Hunter,Tasmania,2021-10-06,2021-10-12,889,98,1,98,Shirt,Camp Collared,M,indigo,52,6,2021-10-01,Senior
Lindsey McCuthais,Bigender,61,Port Hunter,Tasmania,2021-10-06,2021-10-12,890,94,2,188,Shirt,Henley,XL,orange,52,6,2021-10-01,Senior
Lindsey McCuthais,Bigender,61,Port Hunter,Tasmania,2021-10-06,2021-10-12,891,105,3,315,Shirt,Cuban Collar,XS,blue,56,6,2021-10-01,Senior
Lindsey McCuthais,Bigender,61,Port Hunter,Tasmania,2021-10-06,2021-10-12,892,119,2,238,Jacket,Trench Coat,XL,orange,71,6,2021-10-01,Senior
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-03-26,2021-04-09,4310,109,1,109,Jacket,Peacoat,XS,orange,78,14,2021-03-01,Young
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-03-26,2021-04-09,4311,119,1,119,Shirt,Casual Slim Fit,XS,green,69,14,2021-03-01,Young
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-03-26,2021-04-09,4312,98,2,196,Shirt,Camp Collared,XS,orange,52,14,2021-03-01,Young
Rutger Hugonnet,Bigender,20,New Jadehaven,New South Wales,2021-03-26,2021-04-09,4313,91,3,273,Shirt,Linen,M,orange,42,14,2021-03-01,Young
Kakalina Ragge,Genderqueer,42,South Alexandraview,Queensland,2021-07-25,2021-08-06,3999,94,1,94,Trousers,Cords,XL,indigo,70,12,2021-07-01,Middle Aged
Kakalina Ragge,Genderqueer,42,South Alexandraview,Queensland,2021-07-25,2021-08-06,4000,104,1,104,Shirt,Dress,S,green,60,12,2021-07-01,Middle Aged
Kakalina Ragge,Genderqueer,42,South Alexandraview,Queensland,2021-07-25,2021-08-06,4001,112,3,336,Jacket,Cardigan,XS,green,40,12,2021-07-01,Middle Aged
Kakalina Ragge,Genderqueer,42,South Alexandraview,Queensland,2021-07-25,2021-08-06,4002,102,2,204,Jacket,Windbreaker,L,violet,72,12,2021-07-01,Middle Aged
Kakalina Ragge,Genderqueer,42,South Alexandraview,Queensland,2021-07-25,2021-08-06,4003,106,1,106,Trousers,Wool,S,red,65,12,2021-07-01,Middle Aged
Kakalina Ragge,Genderqueer,42,South Alexandraview,Queensland,2021-07-25,2021-08-06,4004,105,3,315,Shirt,Cuban Collar,M,yellow,49,12,2021-07-01,Middle Aged
Kakalina Ragge,Genderqueer,42,South Alexandraview,Queensland,2021-07-25,2021-08-06,4005,104,2,208,Shirt,Dress,XL,indigo,75,12,2021-07-01,Middle Aged
Rey Grasner,Genderqueer,27,Cassinport,Western Australia,2021-05-16,2021-06-06,1945,113,2,226,Trousers,Chinos,XS,yellow,41,21,2021-05-01,Young
Rey Grasner,Genderqueer,27,Cassinport,Western Australia,2021-05-16,2021-06-06,1946,112,1,112,Jacket,Cardigan,M,yellow,64,21,2021-05-01,Young
Rey Grasner,Genderqueer,27,Cassinport,Western Australia,2021-05-16,2021-06-06,1947,113,2,226,Trousers,Chinos,M,violet,54,21,2021-05-01,Young
Rey Grasner,Genderqueer,27,Cassinport,Western Australia,2021-05-16,2021-06-06,1948,99,1,99,Trousers,High-Waisted,XS,red,74,21,2021-05-01,Young
Rey Grasner,Genderqueer,27,Cassinport,Western Australia,2021-05-16,2021-06-06,1949,115,3,345,Trousers,Cropped,XL,indigo,58,21,2021-05-01,Young
Rey Grasner,Genderqueer,27,Cassinport,Western Australia,2021-05-16,2021-06-06,1950,107,3,321,Jacket,Denim,S,yellow,43,21,2021-05-01,Young
Rey Grasner,Genderqueer,27,Cassinport,Western Australia,2021-05-16,2021-06-06,1951,119,2,238,Jacket,Trench Coat,XL,violet,52,21,2021-05-01,Young
Sauncho Boosey,Bigender,53,Stewartland,Australian Capital Territory,2021-05-22,2021-05-31,2172,94,2,188,Trousers,Cords,XL,orange,72,9,2021-05-01,Middle Aged
Sauncho Boosey,Bigender,53,Stewartland,Australian Capital Territory,2021-05-22,2021-05-31,2173,113,1,113,Trousers,Chinos,S,green,61,9,2021-05-01,Middle Aged
Sauncho Boosey,Bigender,53,Stewartland,Australian Capital Territory,2021-05-22,2021-05-31,2174,102,2,204,Jacket,Windbreaker,S,red,54,9,2021-05-01,Middle Aged
Sauncho Boosey,Bigender,53,Stewartland,Australian Capital Territory,2021-05-22,2021-05-31,2175,106,2,212,Shirt,Chambray,XL,red,42,9,2021-05-01,Middle Aged
Andi Kettleson,Female,39,East Piper,Northern Territory,2021-07-19,2021-08-15,381,92,1,92,Shirt,Denim,S,blue,47,27,2021-07-01,Middle Aged
Andi Kettleson,Female,39,East Piper,Northern Territory,2021-07-19,2021-08-15,382,113,3,339,Trousers,Chinos,M,blue,41,27,2021-07-01,Middle Aged
Andi Kettleson,Female,39,East Piper,Northern Territory,2021-07-19,2021-08-15,383,119,1,119,Shirt,Casual Slim Fit,M,blue,61,27,2021-07-01,Middle Aged
Andi Kettleson,Female,39,East Piper,Northern Territory,2021-07-19,2021-08-15,384,118,2,236,Shirt,Flannel,S,green,57,27,2021-07-01,Middle Aged
Andi Kettleson,Female,39,East Piper,Northern Territory,2021-07-19,2021-08-15,385,91,2,182,Jacket,Pullover,XS,red,54,27,2021-07-01,Middle Aged
Andi Kettleson,Female,39,East Piper,Northern Territory,2021-07-19,2021-08-15,386,96,2,192,Trousers,Drawstring,XS,orange,41,27,2021-07-01,Middle Aged
Andi Kettleson,Female,39,East Piper,Northern Territory,2021-07-19,2021-08-15,387,105,2,210,Trousers,Pleated,S,violet,50,27,2021-07-01,Middle Aged
Jena Kelling,Female,44,Kaihaven,New South Wales,2021-10-22,2021-11-03,590,100,1,100,Jacket,Bomber,S,indigo,41,12,2021-10-01,Middle Aged
Jena Kelling,Female,44,Kaihaven,New South Wales,2021-10-22,2021-11-03,591,105,1,105,Trousers,Pleated,L,violet,48,12,2021-10-01,Middle Aged
Giralda Trewin,Genderfluid,65,Bartolettifurt,Western Australia,2021-04-30,2021-05-01,961,93,1,93,Trousers,Joggers,XS,green,77,1,2021-04-01,Senior
Giralda Trewin,Genderfluid,65,Bartolettifurt,Western Australia,2021-04-30,2021-05-01,962,112,2,224,Trousers,Tracksuit Bottoms,XL,green,49,1,2021-04-01,Senior
Giralda Trewin,Genderfluid,65,Bartolettifurt,Western Australia,2021-04-30,2021-05-01,963,113,2,226,Jacket,Parka,M,violet,75,1,2021-04-01,Senior
Giralda Trewin,Genderfluid,65,Bartolettifurt,Western Australia,2021-04-30,2021-05-01,964,95,3,285,Shirt,Polo,XL,orange,43,1,2021-04-01,Senior
Giralda Trewin,Genderfluid,65,Bartolettifurt,Western Australia,2021-04-30,2021-05-01,965,113,1,113,Trousers,Chinos,XL,blue,48,1,2021-04-01,Senior
Claudio Archibould,Bigender,31,North Aidentown,Northern Territory,2021-08-31,2021-09-18,1116,102,1,102,Trousers,Cargo Pants,S,indigo,48,18,2021-08-01,Young
Claudio Archibould,Bigender,31,North Aidentown,Northern Territory,2021-08-31,2021-09-18,1117,104,1,104,Shirt,Dress,S,green,60,18,2021-08-01,Young
Claudio Archibould,Bigender,31,North Aidentown,Northern Territory,2021-08-31,2021-09-18,1118,93,1,93,Jacket,Coach,M,indigo,64,18,2021-08-01,Young
Hadlee Douthwaite,Female,42,West Hamish,South Australia,2021-01-12,2021-02-05,1419,107,3,321,Jacket,Denim,L,blue,42,24,2021-01-01,Middle Aged
Hadlee Douthwaite,Female,42,West Hamish,South Australia,2021-01-12,2021-02-05,1420,117,3,351,Jacket,Shearling,XS,orange,54,24,2021-01-01,Middle Aged
Hadlee Douthwaite,Female,42,West Hamish,South Australia,2021-01-12,2021-02-05,1421,91,3,273,Jacket,Pullover,XS,violet,61,24,2021-01-01,Middle Aged
Hadlee Douthwaite,Female,42,West Hamish,South Australia,2021-01-12,2021-02-05,1422,105,2,210,Shirt,Cuban Collar,M,orange,49,24,2021-01-01,Middle Aged
Hadlee Douthwaite,Female,42,West Hamish,South Australia,2021-01-12,2021-02-05,1423,106,1,106,Shirt,Chambray,M,yellow,62,24,2021-01-01,Middle Aged
Hadlee Douthwaite,Female,42,West Hamish,South Australia,2021-01-12,2021-02-05,1424,117,1,117,Jacket,Shearling,S,red,75,24,2021-01-01,Middle Aged
Waylin Gasson,Genderqueer,37,West Kai,South Australia,2021-01-10,2021-01-19,2643,105,2,210,Shirt,Cuban Collar,S,yellow,41,9,2021-01-01,Middle Aged
Waylin Gasson,Genderqueer,37,West Kai,South Australia,2021-01-10,2021-01-19,2644,96,3,288,Trousers,Drawstring,M,indigo,58,9,2021-01-01,Middle Aged
Waylin Gasson,Genderqueer,37,West Kai,South Australia,2021-01-10,2021-01-19,2645,105,2,210,Trousers,Pleated,XL,red,58,9,2021-01-01,Middle Aged
Sauncho Boosey,Bigender,53,Stewartland,Australian Capital Territory,2021-01-12,2021-01-27,4195,104,3,312,Shirt,Dress,M,green,65,15,2021-01-01,Middle Aged
Sauncho Boosey,Bigender,53,Stewartland,Australian Capital Territory,2021-01-12,2021-01-27,4196,118,1,118,Shirt,Flannel,M,green,66,15,2021-01-01,Middle Aged
Sauncho Boosey,Bigender,53,Stewartland,Australian Capital Territory,2021-01-12,2021-01-27,4197,99,1,99,Trousers,High-Waisted,M,blue,52,15,2021-01-01,Middle Aged
Sauncho Boosey,Bigender,53,Stewartland,Australian Capital Territory,2021-01-12,2021-01-27,4198,119,3,357,Jacket,Trench Coat,L,yellow,77,15,2021-01-01,Middle Aged
Sauncho Boosey,Bigender,53,Stewartland,Australian Capital Territory,2021-01-12,2021-01-27,4199,106,2,212,Shirt,Chambray,M,indigo,62,15,2021-01-01,Middle Aged
Lin Norville,Male,42,Russelstad,Victoria,2021-04-28,2021-05-14,3370,100,3,300,Jacket,Bomber,XL,green,79,16,2021-04-01,Middle Aged
Lin Norville,Male,42,Russelstad,Victoria,2021-04-28,2021-05-14,3371,109,1,109,Shirt,Mandarin Collar,L,yellow,78,16,2021-04-01,Middle Aged
Lin Norville,Male,42,Russelstad,Victoria,2021-04-28,2021-05-14,3372,98,2,196,Shirt,Camp Collared,XS,green,66,16,2021-04-01,Middle Aged
Margalo Cousen,Agender,31,Bauchton,Northern Territory,2021-03-26,2021-04-03,1208,104,3,312,Shirt,Dress,S,orange,69,8,2021-03-01,Young
Margalo Cousen,Agender,31,Bauchton,Northern Territory,2021-03-26,2021-04-03,1209,98,2,196,Jacket,Leather,XS,green,57,8,2021-03-01,Young
Margalo Cousen,Agender,31,Bauchton,Northern Territory,2021-03-26,2021-04-03,1210,94,1,94,Trousers,Cords,XS,orange,70,8,2021-03-01,Young
Margalo Cousen,Agender,31,Bauchton,Northern Territory,2021-03-26,2021-04-03,1211,106,3,318,Shirt,Chambray,XL,orange,57,8,2021-03-01,Young
Margalo Cousen,Agender,31,Bauchton,Northern Territory,2021-03-26,2021-04-03,1212,112,1,112,Jacket,Cardigan,XS,orange,46,8,2021-03-01,Young
Killie Wigzell,Male,61,South Emilyborough,Victoria,2021-03-12,2021-04-08,1616,112,2,224,Trousers,Tracksuit Bottoms,S,red,57,27,2021-03-01,Senior
Killie Wigzell,Male,61,South Emilyborough,Victoria,2021-03-12,2021-04-08,1617,117,3,351,Jacket,Shearling,XL,red,42,27,2021-03-01,Senior
Killie Wigzell,Male,61,South Emilyborough,Victoria,2021-03-12,2021-04-08,1618,118,2,236,Shirt,Flannel,M,green,66,27,2021-03-01,Senior
Killie Wigzell,Male,61,South Emilyborough,Victoria,2021-03-12,2021-04-08,1619,102,2,204,Trousers,Cargo Pants,M,yellow,72,27,2021-03-01,Senior
Killie Wigzell,Male,61,South Emilyborough,Victoria,2021-03-12,2021-04-08,1620,93,2,186,Trousers,Joggers,S,blue,50,27,2021-03-01,Senior
Killie Wigzell,Male,61,South Emilyborough,Victoria,2021-03-12,2021-04-08,1621,95,1,95,Shirt,Polo,L,green,68,27,2021-03-01,Senior
Killie Wigzell,Male,61,South Emilyborough,Victoria,2021-03-12,2021-04-08,1622,100,1,100,Jacket,Bomber,XL,orange,69,27,2021-03-01,Senior
Killie Wigzell,Male,61,South Emilyborough,Victoria,2021-03-12,2021-04-08,1623,105,3,315,Trousers,Pleated,L,violet,48,27,2021-03-01,Senior
Ashley Gant,Polygender,40,Dietrichville,South Australia,2021-10-23,2021-11-03,945,94,1,94,Shirt,Henley,S,blue,75,11,2021-10-01,Middle Aged
Ashley Gant,Polygender,40,Dietrichville,South Australia,2021-10-23,2021-11-03,946,105,3,315,Shirt,Cuban Collar,L,blue,65,11,2021-10-01,Middle Aged
Ashley Gant,Polygender,40,Dietrichville,South Australia,2021-10-23,2021-11-03,947,97,1,97,Trousers,Slim-Fit,XL,orange,78,11,2021-10-01,Middle Aged
Ashley Gant,Polygender,40,Dietrichville,South Australia,2021-10-23,2021-11-03,948,94,1,94,Trousers,Cords,L,green,62,11,2021-10-01,Middle Aged
Ashley Gant,Polygender,40,Dietrichville,South Australia,2021-10-23,2021-11-03,949,96,1,96,Shirt,Oxford Cloth,XS,indigo,61,11,2021-10-01,Middle Aged
Ashley Gant,Polygender,40,Dietrichville,South Australia,2021-10-23,2021-11-03,950,98,3,294,Shirt,Camp Collared,XL,red,79,11,2021-10-01,Middle Aged
Ashley Gant,Polygender,40,Dietrichville,South Australia,2021-10-23,2021-11-03,951,118,3,354,Shirt,Flannel,S,red,59,11,2021-10-01,Middle Aged
Gert Brackstone,Polygender,34,Charlotteville,Queensland,2021-08-24,2021-09-06,2176,115,3,345,Trousers,Cropped,M,red,50,13,2021-08-01,Young
Gert Brackstone,Polygender,34,Charlotteville,Queensland,2021-08-24,2021-09-06,2177,91,2,182,Shirt,Linen,XL,blue,47,13,2021-08-01,Young
Gert Brackstone,Polygender,34,Charlotteville,Queensland,2021-08-24,2021-09-06,2178,113,2,226,Jacket,Parka,XL,red,64,13,2021-08-01,Young
Gert Brackstone,Polygender,34,Charlotteville,Queensland,2021-08-24,2021-09-06,2179,90,3,270,Trousers,Relaxed Leg,S,blue,57,13,2021-08-01,Young
Gert Brackstone,Polygender,34,Charlotteville,Queensland,2021-08-24,2021-09-06,2180,119,1,119,Shirt,Casual Slim Fit,XS,green,69,13,2021-08-01,Young
Gert Brackstone,Polygender,34,Charlotteville,Queensland,2021-08-24,2021-09-06,2181,90,2,180,Trousers,Relaxed Leg,XS,yellow,44,13,2021-08-01,Young
Gert Brackstone,Polygender,34,Charlotteville,Queensland,2021-08-24,2021-09-06,2182,92,1,92,Shirt,Denim,M,violet,55,13,2021-08-01,Young
Gert Brackstone,Polygender,34,Charlotteville,Queensland,2021-08-24,2021-09-06,2183,96,2,192,Trousers,Drawstring,M,violet,73,13,2021-08-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-10-09,2021-10-30,2184,99,3,297,Trousers,High-Waisted,L,red,52,21,2021-10-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-10-09,2021-10-30,2185,92,2,184,Shirt,Denim,XS,red,52,21,2021-10-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-10-09,2021-10-30,2186,109,2,218,Jacket,Peacoat,M,indigo,52,21,2021-10-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-10-09,2021-10-30,2187,102,1,102,Trousers,Cargo Pants,XS,yellow,68,21,2021-10-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-10-09,2021-10-30,2188,94,1,94,Trousers,Cords,M,orange,53,21,2021-10-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-10-09,2021-10-30,2189,92,3,276,Shirt,Denim,XS,green,66,21,2021-10-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-01-12,2021-01-15,4523,96,1,96,Shirt,Oxford Cloth,S,blue,51,3,2021-01-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-01-12,2021-01-15,4524,113,2,226,Jacket,Parka,L,green,55,3,2021-01-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-01-12,2021-01-15,4525,92,1,92,Shirt,Denim,L,yellow,75,3,2021-01-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-01-12,2021-01-15,4526,94,2,188,Trousers,Cords,M,green,76,3,2021-01-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-01-12,2021-01-15,4527,94,1,94,Shirt,Henley,XS,green,61,3,2021-01-01,Young
Niels Loadsman,Genderfluid,30,Kaiview,New South Wales,2021-01-12,2021-01-15,4528,100,3,300,Jacket,Bomber,L,orange,71,3,2021-01-01,Young
Hetti Fibbens,Genderqueer,45,Beattychester,Queensland,2021-03-24,2021-03-30,2198,112,2,224,Trousers,Tracksuit Bottoms,M,green,47,6,2021-03-01,Middle Aged
Hetti Fibbens,Genderqueer,45,Beattychester,Queensland,2021-03-24,2021-03-30,2199,97,1,97,Trousers,Slim-Fit,XS,indigo,74,6,2021-03-01,Middle Aged
Hetti Fibbens,Genderqueer,45,Beattychester,Queensland,2021-03-24,2021-03-30,2200,113,1,113,Trousers,Chinos,L,violet,62,6,2021-03-01,Middle Aged
Hetti Fibbens,Genderqueer,45,Beattychester,Queensland,2021-06-13,2021-06-27,2991,98,2,196,Jacket,Leather,XL,green,58,14,2021-06-01,Middle Aged
